,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2011-02-26 01:00:00,7.2594862830079485,5.808071778726522,8.610358870665376,7.595891409999998,2011-02-26 00:00:00
1,2011-02-26 02:00:00,6.7696448466356465,5.227395859995154,8.216102210396688,7.299917463,2011-02-26 00:00:00
2,2011-02-26 03:00:00,6.502102482782954,5.115833595871498,7.959162020036752,7.106468519,2011-02-26 00:00:00
3,2011-02-26 04:00:00,6.470905640511056,5.024370433657448,7.885588409219935,6.988496643,2011-02-26 00:00:00
4,2011-02-26 05:00:00,6.63459828963582,5.199260069544746,8.078428223670599,6.965814148000001,2011-02-26 00:00:00
5,2011-02-26 06:00:00,6.918074968348007,5.413721254690224,8.377475412695278,7.075185597,2011-02-26 00:00:00
6,2011-02-26 07:00:00,7.247211817188367,5.810278781393741,8.694801987424565,7.339286433,2011-02-26 00:00:00
7,2011-02-26 08:00:00,7.577719155489767,6.106668923714707,9.03164170597427,7.579956724,2011-02-26 00:00:00
8,2011-02-26 09:00:00,7.901681664611783,6.41052834371221,9.42022764555951,8.042867768999997,2011-02-26 00:00:00
9,2011-02-26 10:00:00,8.229614312307653,6.68463970859232,9.756950841148614,8.444018206,2011-02-26 00:00:00
10,2011-02-26 11:00:00,8.563097841151107,7.131961695776628,10.001876377007296,8.712525439,2011-02-26 00:00:00
11,2011-02-26 12:00:00,8.879646168290847,7.570805517986016,10.28314846355237,8.891423956,2011-02-26 00:00:00
12,2011-02-26 13:00:00,9.141352247728358,7.697013053366898,10.530661080578533,8.908807447,2011-02-26 00:00:00
13,2011-02-26 14:00:00,9.319546366112904,7.931352533707887,10.761869356964361,8.896942395999998,2011-02-26 00:00:00
14,2011-02-26 15:00:00,9.414637290423538,7.896149894873711,10.91349046635958,8.923794547,2011-02-26 00:00:00
15,2011-02-26 16:00:00,9.454058274752434,8.113001605505453,10.83713622828645,8.971769882999999,2011-02-26 00:00:00
16,2011-02-26 17:00:00,9.468578603690908,8.025399608923466,10.999996033750556,9.004931138,2011-02-26 00:00:00
17,2011-02-26 18:00:00,9.46407227655138,7.993463124911485,10.918147195268608,9.012174791,2011-02-26 00:00:00
18,2011-02-26 19:00:00,9.409204853225118,7.907685844756905,10.843862962353906,9.285878153,2011-02-26 00:00:00
19,2011-02-26 20:00:00,9.247949918701153,7.833143349203421,10.685033419755591,9.428589064,2011-02-26 00:00:00
20,2011-02-26 21:00:00,8.929377101875637,7.513046958655258,10.453808274820625,9.221865108,2011-02-26 00:00:00
21,2011-02-26 22:00:00,8.43780610887259,6.924880502059727,9.90558005832149,8.980858565999998,2011-02-26 00:00:00
22,2011-02-26 23:00:00,7.808654160662993,6.284470143783326,9.244520263153197,8.623496203,2011-02-26 00:00:00
23,2011-02-27 00:00:00,7.124415578435382,5.808741249772441,8.518138444613458,8.1761898,2011-02-26 00:00:00
24,2011-06-06 01:00:00,11.666685545897174,10.235434180691906,13.081613293340476,10.79877067,2011-06-06 00:00:00
25,2011-06-06 02:00:00,11.230191222791893,9.81326476675838,12.591577700957217,10.215733700000001,2011-06-06 00:00:00
26,2011-06-06 03:00:00,11.020625308138872,9.591156020341606,12.470970724666184,9.738965051,2011-06-06 00:00:00
27,2011-06-06 04:00:00,11.048396807506194,9.68638179512159,12.536455031497116,9.469025591,2011-06-06 00:00:00
28,2011-06-06 05:00:00,11.266748081251347,9.749055129744644,12.729526342883922,9.41751843,2011-06-06 00:00:00
29,2011-06-06 06:00:00,11.600361274106923,10.165514411784443,12.95480979267937,9.759875377,2011-06-06 00:00:00
30,2011-06-06 07:00:00,11.980782993758316,10.636539279950583,13.411167941062661,10.161891670000001,2011-06-06 00:00:00
31,2011-06-06 08:00:00,12.3695024536042,10.89870873874629,13.67064387595141,10.53887351,2011-06-06 00:00:00
32,2011-06-06 09:00:00,12.758676625904268,11.384591917846286,14.082195085490717,11.247812340000001,2011-06-06 00:00:00
33,2011-06-06 10:00:00,13.153805394735464,11.644299950783882,14.469907154932724,12.34308576,2011-06-06 00:00:00
34,2011-06-06 11:00:00,13.552757802128204,12.1930968177524,14.969888641389982,13.57118947,2011-06-06 00:00:00
35,2011-06-06 12:00:00,13.935523086601563,12.470340850301778,15.446027114212816,14.92042301,2011-06-06 00:00:00
36,2011-06-06 13:00:00,14.270074494561364,12.90607880838333,15.681429505233055,16.09354056,2011-06-06 00:00:00
37,2011-06-06 14:00:00,14.52850782069704,13.041322931184776,15.927237930109797,17.02406851,2011-06-06 00:00:00
38,2011-06-06 15:00:00,14.701384639417297,13.357863555163796,16.046320587611845,17.54107241,2011-06-06 00:00:00
39,2011-06-06 16:00:00,14.800136174652398,13.293840476374537,16.248109235162687,17.18506968,2011-06-06 00:00:00
40,2011-06-06 17:00:00,14.845374755745414,13.375363303099908,16.22474076344613,15.981795009999999,2011-06-06 00:00:00
41,2011-06-06 18:00:00,14.847860024548355,13.475373765131312,16.256128233670612,14.92355418,2011-06-06 00:00:00
42,2011-06-06 19:00:00,14.793779749400136,13.344518571921936,16.162901298425197,13.873865460000001,2011-06-06 00:00:00
43,2011-06-06 20:00:00,14.644543311526114,13.28420765966943,16.009430913484724,13.245365820000002,2011-06-06 00:00:00
44,2011-06-06 21:00:00,14.354134876323682,12.960186815528855,15.732124256625074,13.04120544,2011-06-06 00:00:00
45,2011-06-06 22:00:00,13.897466646796094,12.491414709802925,15.404613858846481,12.661320239999998,2011-06-06 00:00:00
46,2011-06-06 23:00:00,13.295794187532227,11.911246401795644,14.787647441232497,11.69237502,2011-06-06 00:00:00
