,horizon,mse,rmse,mae,mape,coverage
124,0 days 05:00:00.000000000,0.9243943831918358,0.9614543063462953,0.8000379585588904,0.08935786586704175,0.9354838709677419
172,0 days 05:00:00.000000000,0.8961982693568914,0.9466774896219363,0.7799897408917439,0.08745732287542979,0.9354838709677419
340,0 days 05:00:00.000000000,0.8905444093992683,0.9436866054995526,0.7728473542264422,0.08671784829145791,0.9354838709677419
604,0 days 05:00:00.000000000,0.9047384076022441,0.9511773796733415,0.7816751791529286,0.08745329624910368,0.9354838709677419
364,0 days 05:00:00.000000000,0.8980537778865408,0.9476569937939259,0.7763961431519671,0.08676816398332915,0.9354838709677419
220,0 days 05:00:00.000000000,0.9251209694048641,0.9618320900265618,0.7933275567403041,0.08812133126807828,0.9354838709677419
388,0 days 05:00:00.000000000,0.9322324120732162,0.9655218340737904,0.800402296987264,0.08872150383064795,0.9354838709677419
196,0 days 05:00:00.000000000,0.945600678425695,0.9724200113251963,0.8132450777838324,0.09053434254975797,0.9354838709677419
436,0 days 05:00:00.000000000,0.9391506005547208,0.96909782816531,0.8090173379745356,0.0900213364291415,0.9354838709677419
412,0 days 05:00:00.000000000,0.9508897882808133,0.9751357794075722,0.8147767470694462,0.09000396290936663,0.9354838709677419
460,0 days 05:00:00.000000000,0.9450042558405474,0.9721132937268924,0.8053329280270431,0.0886637469909481,0.9354838709677419
244,0 days 05:00:00.000000000,0.955215261864754,0.9773511456302458,0.810718818953857,0.08927537183960316,0.9354838709677419
148,0 days 05:00:00.000000000,0.9307566515337484,0.9647573018815397,0.7973049704293451,0.08804203149604409,0.9354838709677419
484,0 days 05:00:00.000000000,1.0545543278112495,1.0269149564648719,0.8327554026507217,0.09116344731126037,0.9193548387096774
508,0 days 05:00:00.000000000,0.9287552959867719,0.963719511054317,0.7941979958155773,0.08750759930065469,0.9354838709677419
556,0 days 05:00:00.000000000,0.9367535076032977,0.9678602727683876,0.8020461871751683,0.08800002372909822,0.9354838709677419
532,0 days 05:00:00.000000000,0.9458951030900619,0.9725713871434126,0.8105904743115391,0.08907350153943215,0.9354838709677419
76,0 days 05:00:00.000000000,0.9379453294314688,0.9684757763782575,0.8055981963075438,0.08910795036419843,0.9354838709677419
580,0 days 05:00:00.000000000,0.9198671868198022,0.9590970685075636,0.7942202029630451,0.08772945520823607,0.9354838709677419
28,0 days 05:00:00.000000000,0.9485284334058974,0.9739242441822143,0.8033745480293752,0.08877396052531299,0.9193548387096774
100,0 days 05:00:00.000000000,0.9590656113898114,0.9793189528390693,0.8133255167206306,0.09012195384256907,0.9193548387096774
4,0 days 05:00:00.000000000,0.9586643093344839,0.9791140430687755,0.8127506461042008,0.0901307981909451,0.9193548387096774
52,0 days 05:00:00.000000000,0.9355559199713334,0.9672413969487313,0.7949040088919825,0.08783733971496858,0.9193548387096774
173,0 days 06:00:00.000000000,0.9124366522765587,0.9552155004377592,0.7781978924927322,0.08593877614195108,0.9193548387096774
197,0 days 06:00:00.000000000,0.9138513331337632,0.9559557171405814,0.7793753626977442,0.08640507261489355,0.9193548387096774
77,0 days 06:00:00.000000000,0.9200603383932612,0.9591977577086287,0.7843868440150934,0.08706873815578106,0.9193548387096774
605,0 days 06:00:00.000000000,0.9133717056438129,0.9557048213982249,0.7811409076158876,0.08672059279348478,0.9193548387096774
533,0 days 06:00:00.000000000,0.9289956165749135,0.9638441868761327,0.7924112349048958,0.08806447925838193,0.9193548387096774
509,0 days 06:00:00.000000000,0.924531294820708,0.9615255039886919,0.789187177417829,0.08797806170156536,0.9193548387096774
413,0 days 06:00:00.000000000,0.9539528470444439,0.9767050972757559,0.8043293280795871,0.08942073305224277,0.9193548387096774
365,0 days 06:00:00.000000000,0.9614862719729234,0.980554063768502,0.8130547006680422,0.09044704142010732,0.9193548387096774
221,0 days 06:00:00.000000000,0.9782604316205614,0.9890704887016706,0.822214354577326,0.09094776024445987,0.9193548387096774
557,0 days 06:00:00.000000000,0.9557449318470141,0.9776220802779642,0.8110745892863378,0.08918464235549882,0.9354838709677419
245,0 days 06:00:00.000000000,0.9628291435941821,0.981238576287226,0.8139753189529436,0.0892416139632448,0.9354838709677419
341,0 days 06:00:00.000000000,0.9372070415470811,0.9680945416368595,0.7938024313964184,0.08702962304441184,0.9354838709677419
29,0 days 06:00:00.000000000,0.990416834499474,0.9951968822798201,0.8186926924047528,0.08945228135686147,0.9193548387096774
581,0 days 06:00:00.000000000,0.9804705773672807,0.9901871425984488,0.8093392607035975,0.08811619471427475,0.9193548387096774
269,0 days 06:00:00.000000000,0.9827384533577042,0.9913316565901162,0.8112598602707826,0.08846194488144644,0.9193548387096774
317,0 days 06:00:00.000000000,0.854627090281869,0.9244604319720066,0.7718533758717294,0.08445735511213695,0.9354838709677419
5,0 days 06:00:00.000000000,0.8549199851056601,0.9246188323334433,0.7730846286425224,0.0846795982606852,0.9354838709677419
293,0 days 06:00:00.000000000,0.8555869635072114,0.924979439505123,0.7737158938542917,0.0847466268799192,0.9354838709677419
53,0 days 06:00:00.000000000,0.835496755614275,0.9140551162890972,0.7600238998655293,0.08314158161065127,0.9354838709677419
437,0 days 06:00:00.000000000,0.836574035113719,0.9146442123108411,0.7615125743474285,0.08331114357016538,0.9354838709677419
389,0 days 06:00:00.000000000,0.8253936888322967,0.9085117989505126,0.7551233384518874,0.0820438521705261,0.9354838709677419
149,0 days 06:00:00.000000000,0.8335033281041905,0.912964034397955,0.7657827446336813,0.08317352319266026,0.9354838709677419
101,0 days 06:00:00.000000000,0.8170977391830238,0.9039345878895352,0.7562338936399825,0.08211362384189867,0.9354838709677419
485,0 days 06:00:00.000000000,0.9165272270051373,0.9573542849985773,0.789338730145044,0.08498759037271726,0.9193548387096774
461,0 days 06:00:00.000000000,0.9116237166890135,0.9547898809104617,0.7830912790080411,0.08449136781785553,0.9193548387096774
125,0 days 06:00:00.000000000,0.8985248287683772,0.9479054956947857,0.778537360859655,0.08400287504323405,0.9354838709677419
102,0 days 07:00:00.000000000,0.8785537874097596,0.9373120011019594,0.7654323959984379,0.08303050795042291,0.9354838709677419
174,0 days 07:00:00.000000000,0.8779689815914853,0.9369999901768864,0.7641285156432399,0.08301151317776315,0.9354838709677419
558,0 days 07:00:00.000000000,0.8801566583522069,0.9381666474311517,0.7658761541787418,0.0830135489083355,0.9354838709677419
246,0 days 07:00:00.000000000,0.9144058586430909,0.9562457103919948,0.7789572283357202,0.08372351207817383,0.9193548387096774
582,0 days 07:00:00.000000000,0.904803931832332,0.9512118227988612,0.7680225704110055,0.08238022091068956,0.9193548387096774
462,0 days 07:00:00.000000000,0.9058059127959686,0.9517383636251975,0.7687622477927468,0.08196979205810428,0.9193548387096774
126,0 days 07:00:00.000000000,0.9007204490683016,0.9490629320905446,0.76663319661241,0.08172972414135561,0.9193548387096774
198,0 days 07:00:00.000000000,0.8974228059213974,0.947324023722294,0.7623476324964745,0.08101493328281437,0.9193548387096774
414,0 days 07:00:00.000000000,0.9412710497867911,0.9701912439239962,0.778666918127432,0.08227707013625013,0.9032258064516129
78,0 days 07:00:00.000000000,0.9528799662124162,0.9761557079751243,0.7875347514081381,0.08347749870239088,0.9032258064516129
30,0 days 07:00:00.000000000,0.9965971818421131,0.9982971410567663,0.8044001143109998,0.08511326544850094,0.8870967741935484
534,0 days 07:00:00.000000000,1.0189314142900197,1.0094213264489806,0.8140059788103747,0.0856424216737306,0.8870967741935484
270,0 days 07:00:00.000000000,1.0155818472730698,1.0077608085617686,0.8109398639345765,0.08557472140077951,0.8870967741935484
606,0 days 07:00:00.000000000,0.99672831884045,0.9983628192398042,0.8025706191847859,0.08459234259017026,0.8870967741935484
342,0 days 07:00:00.000000000,0.9967658521035033,0.9983816164691252,0.8027831489992043,0.08459482969459559,0.8870967741935484
366,0 days 07:00:00.000000000,1.0178892397450334,1.0089049706216306,0.8186416487741042,0.08611880751325558,0.8870967741935484
318,0 days 07:00:00.000000000,0.9998358399141082,0.9999179165882108,0.804562812434191,0.08449723502961538,0.8870967741935484
222,0 days 07:00:00.000000000,1.0129492747861648,1.0064538115513124,0.8133870846211785,0.08495241467897346,0.8870967741935484
150,0 days 07:00:00.000000000,1.0034917579920803,1.0017443576043144,0.809453869587475,0.08480583498775107,0.8870967741935484
510,0 days 07:00:00.000000000,1.0029173268646585,1.0014576011317995,0.8090489751508456,0.08514298728663475,0.8870967741935484
294,0 days 07:00:00.000000000,0.9948967673268416,0.9974451199574048,0.8037276433102682,0.08389686023662567,0.8870967741935484
486,0 days 07:00:00.000000000,1.062385727990332,1.0307209748473793,0.8280684553001401,0.08561306604975186,0.8709677419354839
438,0 days 07:00:00.000000000,1.0399082568001181,1.019758920922057,0.8120097439352519,0.08407952827863949,0.8709677419354839
390,0 days 07:00:00.000000000,1.0481169950453844,1.0237758519546085,0.8232162159525918,0.08503016835508741,0.8709677419354839
54,0 days 07:00:00.000000000,1.0344182248948166,1.0170635304123419,0.8153539597357664,0.08382020237058893,0.8709677419354839
6,0 days 07:00:00.000000000,1.0305891510374587,1.0151793688986488,0.8088412406210107,0.0831062773304302,0.8709677419354839
463,0 days 08:00:00.000000000,0.905941405171968,0.9518095424883951,0.7727119016861824,0.07943177077337672,0.8870967741935484
535,0 days 08:00:00.000000000,0.9269064479526821,0.9627598080272577,0.7853667338077951,0.0804395624475828,0.8870967741935484
199,0 days 08:00:00.000000000,0.9216028159395321,0.9600014666340526,0.7810918979242707,0.08030994779185524,0.8870967741935484
55,0 days 08:00:00.000000000,0.9119127613008342,0.9549412344751033,0.7713742123148483,0.0791110644076091,0.8870967741935484
223,0 days 08:00:00.000000000,0.9326763891531916,0.9657517223143801,0.7820505543555216,0.07945276579011328,0.8870967741935484
607,0 days 08:00:00.000000000,0.9384730335025193,0.9687481785802332,0.786936596127663,0.08000783543873705,0.8870967741935484
559,0 days 08:00:00.000000000,0.8902744882377658,0.9435435804655584,0.7677032981427606,0.07766734370255905,0.9032258064516129
367,0 days 08:00:00.000000000,0.8962613366249188,0.9467107988318918,0.7708980793863995,0.07759580642760212,0.9032258064516129
247,0 days 08:00:00.000000000,0.918517524928074,0.9583931995418551,0.7852411563853944,0.07886422110302625,0.9032258064516129
391,0 days 08:00:00.000000000,0.9280388494880902,0.9633477303072293,0.796207344810882,0.07975268619302835,0.9032258064516129
151,0 days 08:00:00.000000000,0.9352095760058413,0.9670623433914907,0.8045148253129291,0.08048662323833485,0.9032258064516129
271,0 days 08:00:00.000000000,0.9289205126680476,0.9638052254828502,0.796286050301497,0.07940689559284583,0.9032258064516129
295,0 days 08:00:00.000000000,0.9295084144375205,0.9641101671684209,0.7966598332968073,0.07895973155473394,0.9032258064516129
487,0 days 08:00:00.000000000,0.99396464760424,0.9969777568252163,0.81722422378165,0.08036239892232848,0.8870967741935484
439,0 days 08:00:00.000000000,0.9767622181899372,0.9883128139359204,0.8027076508991263,0.07883599809359795,0.8870967741935484
7,0 days 08:00:00.000000000,0.9711020227180507,0.9854450886366275,0.7931889106353743,0.07762520284868996,0.8870967741935484
511,0 days 08:00:00.000000000,0.9520620722607296,0.9757366818259574,0.7852136244957205,0.07727900913477276,0.8870967741935484
319,0 days 08:00:00.000000000,0.9442351710449551,0.9717176395666363,0.7753119399176406,0.07614595930749642,0.8870967741935484
343,0 days 08:00:00.000000000,0.9222147100828381,0.9603201081320947,0.7603445639021105,0.07501504706826553,0.8870967741935484
175,0 days 08:00:00.000000000,0.9167691673936641,0.9574806355188935,0.7548396297794693,0.07480661995229729,0.8870967741935484
79,0 days 08:00:00.000000000,0.9008650737046087,0.949139122418104,0.7475005393040167,0.07405286265113477,0.8870967741935484
31,0 days 08:00:00.000000000,0.9549152055572036,0.9771976287103871,0.776870307525128,0.0768344764930326,0.8709677419354839
103,0 days 08:00:00.000000000,0.9002908675121427,0.9488365863056413,0.7476054526228362,0.07384473887214574,0.8870967741935484
583,0 days 08:00:00.000000000,0.8995255360631802,0.948433200633118,0.7453969708610687,0.07363605771326094,0.8870967741935484
127,0 days 08:00:00.000000000,0.9202367982231583,0.9592897363274342,0.7559839872183117,0.07436523687915286,0.8870967741935484
415,0 days 08:00:00.000000000,0.9706758053087111,0.9852288086067678,0.7787263305518339,0.07627422994420001,0.8709677419354839
560,0 days 09:00:00.000000000,0.9719130415019442,0.9858565014757189,0.781328122394576,0.0762948009276667,0.8709677419354839
248,0 days 09:00:00.000000000,0.9757917246429632,0.9878217069101909,0.7843509562444371,0.07672366647977265,0.8709677419354839
128,0 days 09:00:00.000000000,1.0040468226274313,1.0020213683487151,0.8012864643992875,0.07834356222220641,0.8548387096774194
8,0 days 09:00:00.000000000,1.0016837701754524,1.0008415310005139,0.7969834341526645,0.07779646202344422,0.8548387096774194
